run,subrun,event
8675,95,9908
8675,110,11580
8675,110,11595
8675,130,13825
8675,135,14423
8675,145,15659
8675,165,18089
8675,165,18112
8675,169,18571
8675,170,18734
8675,172,18973
8675,202,22695
8675,220,24906
8675,226,25652
8675,232,26477
8675,393,39223
8675,429,41722
8766,14,1760
8766,89,11279
8675,89,9344
8675,119,12389
8675,174,19207
8675,177,19616
8675,189,21084
8675,197,22149
8675,230,26178
8675,238,27147
8675,238,27165
8675,279,31410
8766,30,3824
8766,31,3988
8766,37,4757
8766,103,12851
8766,142,17842
8675,129,13724
8675,185,20620
8675,185,20634
8675,218,24688
8675,255,29250
8675,255,29287
8675,435,42200
8675,435,42207
8766,139,17424
8766,146,18348
8766,165,20624
8766,186,23136
8766,197,24437
8766,200,24789
8766,216,26697
8766,232,28563
8766,254,31326
8766,260,32071
8766,358,45217
8675,257,29517
8675,260,29928
8675,349,35965
8675,368,37364
8675,430,41772
8766,82,10342
8766,90,11409
8766,106,13261
8766,177,22035
8766,198,24570
8766,225,27712
8766,265,32691
8766,278,34385
8766,283,35020
8766,290,35999
8766,302,37696
8766,303,37841
8766,340,42586
8766,346,43443
8766,357,45052
8675,243,27806
8675,425,41438
8675,428,41613
8675,443,42784
8766,88,11162
8766,119,14835
8766,154,19304
8766,154,19324
8766,220,27127
8766,236,29058
8766,270,33335
8766,270,33358
8766,277,34249
8766,284,35165
8766,323,40279
8766,335,41900
8766,350,44048
8590,8,811
8590,21,1993
8675,283,31646
8758,309,34058
8758,309,34068
8758,367,41166
8758,380,42662
8758,418,47199
8766,286,35446
8766,294,36575
8766,306,38201
8766,306,38214
8766,329,41087
8766,342,42843
8590,15,1504
8590,56,5156
8590,82,7663
8590,111,10479
8590,123,11537
8590,128,12033
8590,130,12226
8590,147,13906
8590,156,14835
8590,168,16015
8758,272,29261
8758,342,38151
8758,360,40333
8758,379,42563
8758,391,43874
8758,396,44506
8758,409,46123
8722,7,860
8722,24,3229
8722,34,4709
8722,59,8501
8722,79,11465
8722,81,11771
8722,98,14033
8722,112,16050
8722,112,16076
8726,7,862
8726,7,863
8733,23,2752
8733,50,5590
8733,51,5692
8722,4,427
8722,4,467
8722,21,2817
8733,103,11198
8630,10,608
8630,19,1212
8630,38,2494
8630,40,2613
8630,51,3410
8630,52,3470
8630,133,8988
8632,9,655
8632,67,5388
8722,65,9329
8722,73,10540
8722,73,10562
8722,109,15584
8737,34,3365
8737,71,7219
8737,131,13445
8560,23,973
8560,41,1759
8560,69,2911
8560,128,5363
8560,160,6768
8560,164,6949
8630,29,1848
8630,59,3909
8630,189,12868
8630,213,14506
8632,22,1726
8632,31,2453
8632,51,4050
8632,76,6216
8632,133,11350
8632,154,12734
8722,1,16
8722,18,2392
8722,58,8294
8722,58,8298
8722,63,9043
8722,93,13357
8737,14,1352
8737,14,1376
8737,28,2758
8737,125,12846
8599,12,1205
8599,33,3236
8599,46,4442
8599,62,5930
8599,86,8110
8680,5,564
8680,5,605
8680,9,1086
8680,11,1353
8680,12,1524
8680,12,1543
8680,14,1778
8680,17,2192
8680,19,2390
8680,26,3345
8680,26,3352
8680,26,3388
8680,26,3389
8680,34,4307
8725,24,2964
8725,30,3909
8725,31,4018
8725,43,5594
8725,45,5896
8725,65,8682
8725,67,8993
8725,67,8996
8725,67,9014
8725,72,9494
8725,96,12988
8725,100,13596
8599,28,2727
8599,47,4523
8599,47,4534
8599,47,4542
8599,53,5102
8599,58,5569
8599,59,5682
8599,67,6390
8599,88,8291
8725,4,609
8725,6,864
8725,6,887
8725,7,974
8725,9,1248
8725,9,1303
8725,10,1454
8725,12,1703
8725,12,1734
8725,27,3432
8725,32,4207
8725,39,5159
8725,46,6042
8725,56,7449
8725,56,7454
8725,60,8022
8725,61,8195
8725,64,8589
8725,92,12405
8725,92,12419
8725,93,12524
8725,58,7727
8725,74,9749
8725,75,9912
8725,98,13280
8725,99,13419
8733,7,1215
8733,68,7467
8733,74,8116
8733,105,11387
8726,23,2388
8733,29,3346
8733,58,6424
8733,69,7555
8733,89,9773
8733,110,11880
8560,43,1871
8560,162,6838
8560,221,9491
8560,227,9793
8630,32,2053
8630,47,3129
8630,55,3657
8630,72,4832
8630,88,5975
8630,216,14707
8632,11,848
8632,17,1336
8632,169,13788
8722,14,1844
8722,14,1850
8722,36,5033
8722,36,5054
8722,69,9999
8722,69,10003
8722,69,10009
8722,90,12914
8722,102,14608
8722,107,15341
8737,18,1765
8737,72,7308
8560,135,5654
8560,140,5855
8560,173,7349
8560,202,8665
8560,247,10747
8560,276,12101
8560,276,12117
8630,16,1008
8630,31,1992
8630,79,5317
8630,119,8078
8630,124,8384
8630,184,12532
8630,218,14847
8632,30,2363
8632,50,3979
8632,126,10710
8632,126,10719
8632,171,14042
8722,16,2093
8722,16,2101
8722,41,5744
8722,41,5747
8722,57,8136
8722,68,9804
8722,68,9808
8722,68,9845
8722,76,11042
8722,95,13616
8722,101,14457
8737,143,14643
8737,143,14659
9488,14,1047
9488,17,1267
9488,26,1983
9488,34,2636
9488,36,2776
9488,40,3125
9488,44,3499
9488,49,3887
9488,54,4291
9488,57,4511
9488,57,4544
9488,64,5085
9488,68,5391
9488,74,5910
9488,75,5967
9488,90,7178
9488,92,7335
9488,102,8204
9488,102,8234
9488,111,8965
9488,138,11217
9488,139,11309
9488,140,11413
9488,145,11774
9488,151,12260
9488,155,12579
9488,158,12820
9488,158,12826
9488,167,13537
9488,169,13687
9488,186,14978
9488,193,15485
9488,202,16200
9488,213,16936
9488,213,16945
9488,214,17024
9488,220,17458
9488,220,17467
9488,227,18033
9488,263,20855
9488,280,22150
9488,280,22151
9488,299,23657
9488,336,26344
9488,5,372
9488,25,1920
9488,29,2222
9488,37,2846
9488,38,2951
9488,56,4430
9488,89,7105
9488,89,7131
9488,89,7136
9488,107,8648
9488,128,10449
9488,137,11142
9488,141,11453
9488,153,12447
9488,156,12673
9488,174,14023
9488,174,14040
9488,174,14057
9488,182,14656
9488,190,15283
9488,197,15794
9488,208,16579
9488,208,16590
9488,209,16637
9488,209,16641
9488,211,16790
9488,215,17077
9488,215,17112
9488,218,17291
9488,243,19356
9488,249,19777
9488,261,20671
9488,265,21006
9488,279,22072
9488,283,22370
9488,284,22419
9488,291,23025
9488,291,23027
9488,294,23248
9488,310,24450
9488,321,25385
9486,23,2025
9486,41,3417
9486,41,3433
9486,41,3440
9486,65,5314
9486,77,6143
9486,87,6924
9486,88,6998
9486,111,8803
9486,158,12090
9489,7,483
9489,7,486
9489,18,1286
9489,26,1901
9489,62,3920
9489,67,4295
9489,77,5042
9489,87,5791
9489,88,5844
9489,92,6145
9489,92,6167
9489,107,7321
9489,114,7850
9489,114,7851
9489,114,7870
9489,121,8218
9489,152,10245
9489,171,11459
9489,217,14405
9489,217,14427
9489,225,14905
9489,225,14909
9489,268,17602
9486,21,1825
9486,21,1865
9486,53,4388
9486,53,4405
9486,80,6421
9486,112,8889
9489,4,227
9489,4,230
9489,6,376
9489,9,665
9489,21,1497
9489,27,1971
9489,27,1978
9489,79,5184
9489,143,9606
9489,145,9756
9489,158,10615
9489,183,12141
9489,189,12542
9489,194,12861
9489,194,12867
9489,199,13191
9489,241,15938
9489,254,16742
9489,261,17172
9489,261,17182
9489,266,17480
9489,283,18521
9481,235,18189
9481,241,18691
9481,249,19363
9481,249,19409
9481,249,19418
9481,253,19752
9481,276,21671
9481,306,24205
9481,326,25910
9481,326,25936
9481,333,26530
9481,350,28004
9481,372,29863
9481,387,31175
9481,392,31667
9481,393,31767
9481,401,32389
9481,421,34144
9481,428,34697
9481,428,34701
9481,428,34740
9481,437,35501
9481,455,36964
9481,460,37354
9489,10,755
9489,15,1115
9489,25,1803
9489,46,2769
9489,48,2901
9489,78,5102
9489,90,6034
9489,95,6392
9489,95,6410
9489,106,7259
9489,110,7541
9489,110,7562
9489,116,8004
9489,150,10111
9489,170,11417
9489,174,11657
9490,2,78
9490,3,146
9490,4,184
9490,5,278
9490,6,318
9490,7,393
9490,8,462
9490,8,475
9490,10,596
9490,10,606
9481,3,193
9481,3,208
9481,11,827
9481,15,1111
9481,24,1816
9481,74,5176
9481,79,5615
9481,92,6556
9481,123,8904
9481,128,9298
9481,158,11837
9481,170,12842
9481,178,13465
9481,178,13473
9481,186,14160
9481,186,14186
9481,189,14402
9481,190,14478
9481,192,14585
9481,198,15099
9481,198,15126
9481,224,17229
9481,244,18949
9481,246,19098
9481,246,19124
9481,262,20458
9481,269,21092
9481,269,21108
9481,283,22222
9481,294,23186
9481,329,26173
9481,334,26612
9481,340,27145
9481,340,27147
9481,356,28566
9481,366,29399
9481,368,29544
9481,368,29560
9481,368,29570
9481,379,30516
9481,388,31251
9481,388,31261
9481,403,32623
9481,408,33070
9481,410,33219
9481,413,33444
9481,423,34285
9481,432,35047
9481,434,35237
9481,438,35576
9481,456,37050
9481,471,38369
9486,225,17436
9486,229,17729
9486,249,19381
9486,268,20940
9486,273,21335
9486,273,21381
9486,289,22588
9486,296,23167
9488,1,39
9488,18,1362
9488,20,1521
9488,27,2036
9488,28,2134
9488,31,2375
9488,31,2384
9488,53,4202
9488,59,4686
9488,59,4694
9488,66,5255
9488,73,5823
9488,86,6882
9488,98,7872
9488,98,7885
9488,98,7899
9488,104,8367
9488,126,10287
9488,126,10290
9488,130,10583
9488,168,13621
9488,170,13749
9488,177,14286
9488,180,14485
9488,189,15191
9488,194,15546
9488,198,15879
9488,198,15914
9488,201,16119
9488,212,16883
9488,212,16891
9488,245,19496
9488,288,22765
9488,298,23556
9488,324,25615
9486,81,6486
9486,90,7159
9486,90,7164
9486,99,7853
9486,109,8651
9486,109,8660
9486,133,10043
9486,138,10485
9486,138,10517
9486,174,13271
9486,180,13705
9486,181,13801
9486,181,13803
9486,185,14084
9486,203,15539
9486,203,15545
9486,203,15557
9486,207,15887
9486,207,15897
9486,209,16025
9486,210,16115
9486,211,16245
9486,213,16400
9486,226,17516
9486,231,17908
9486,232,17981
9486,233,18064
9486,234,18137
9486,247,19246
9486,258,20162
9486,269,21048
9486,270,21117
9486,271,21209
9486,275,21474
9486,276,21559
9486,280,21864
9486,281,21931
9486,282,22031
9486,293,22914
9486,293,22931
9486,298,23300
9486,299,23388
9486,2,264
9486,6,587
9486,8,738
9486,11,976
9486,25,2214
9486,31,2728
9486,32,2810
9486,39,3290
9486,39,3297
9486,39,3299
9486,47,3899
9486,57,4718
9486,64,5198
9486,64,5205
9486,64,5230
9486,78,6221
9486,78,6245
9486,107,8460
9486,155,11841
9486,169,12868
9486,177,13498
9486,200,15230
9486,212,16317
9486,220,17021
9486,230,17789
9486,254,19836
9486,262,20477
9486,266,20792
9486,284,22160
9486,294,22972
9486,295,23075
9486,300,23457
9486,22,1938
9486,35,2980
9486,61,4956
9486,98,7784
9486,98,7788
9486,118,9274
9486,118,9276
9486,120,9414
9486,134,10135
9486,147,11216
9489,12,873
9489,12,896
9489,23,1652
9489,28,2024
9489,28,2026
9489,28,2049
9489,28,2052
9489,66,4176
9489,83,5501
9489,93,6235
9489,93,6260
9489,97,6553
9489,97,6575
9489,100,6810
9489,115,7918
9489,122,8289
9489,122,8305
9489,136,9197
9489,149,10035
9489,151,10164
9489,157,10555
9489,161,10812
9489,177,11835
9489,197,13072
9489,221,14664
9489,232,15343
9489,238,15760
9489,257,16927
9489,258,16987
9489,285,18633
9489,285,18643
8591,197,19250
8591,199,19438
8591,215,21006
8591,238,23227
8591,272,26641
8591,272,26648
8591,298,29081
8591,301,29372
8591,331,32152
8605,154,14015
8605,210,19042
8591,247,24120
8591,257,25113
8591,304,29652
8591,315,30654
8591,315,30673
8591,315,30675
8591,335,32502
8605,218,19763
8605,258,23401
8605,274,24914
8605,306,27679
8605,19,1887
8605,23,2257
8605,45,4217
8605,84,7874
8605,127,11592
8605,134,12228
8605,140,12801
8605,242,21923
8605,301,27270
8605,314,28403
8605,351,31622
8605,368,33111
8605,385,34565
8605,388,34807
8605,411,36846
8605,330,29764
8605,334,30097
8605,347,31278
8605,378,33985
8605,397,35636
8605,408,36643
8605,425,38089
8605,430,38602
8605,447,40174
8605,458,41235
8605,462,41557
8591,10,798
8591,18,1620
8591,23,2153
8591,60,5749
8591,63,6021
8591,116,11290
8591,192,18758
8591,218,21326
8591,219,21442
8606,239,22382
8606,251,23515
8606,260,24403
8606,266,24952
8606,267,25050
8606,280,26219
8606,284,26594
8606,285,26670
8606,296,27658
8606,305,28453
8606,334,31007
8606,337,31286
8606,337,31294
8606,341,31687
8606,345,32074
8606,346,32161
8591,20,1822
8591,50,4790
8591,61,5814
8591,64,6124
8591,72,6893
8591,83,7948
8591,90,8651
8591,95,9156
8591,103,9975
8591,139,13564
8591,142,13879
8591,187,18291
8591,189,18462
8591,227,22211
8591,293,28600
8591,307,29933
8591,321,31224
8591,11,894
8591,36,3430
8591,82,7864
8591,239,23341
8591,248,24202
8591,282,27579
8591,289,28222
8591,332,32239
8591,350,33858
8605,41,3822
8605,63,5832
8605,81,7603
8605,98,9124
8605,108,9975
8605,173,15732
8605,196,17798
8591,12,995
8591,205,20024
8591,240,23449
8591,244,23824
8591,278,27171
8591,284,27733
8591,287,28030
8591,313,30478
8591,333,32336
9436,67,4682
9436,67,4691
9436,67,4694
9436,77,5979
9436,82,6446
9436,84,6730
9436,84,6746
9436,119,11339
9436,124,11998
9436,125,12121
9436,134,13307
9436,135,13432
9436,136,13595
9436,136,13597
9436,141,14116
9436,141,14124
9436,141,14138
9436,141,14158
9436,147,14962
9436,162,16945
9436,162,16964
9436,162,16971
9436,167,17675
9436,172,18427
9436,173,18506
9436,173,18510
9436,173,18527
9436,176,18949
9436,179,19378
9436,183,20028
9436,185,20273
9436,185,20299
9436,188,20752
9436,188,20794
9436,192,21336
9437,1,21
9437,1,61
9437,2,179
9437,2,229
9437,2,247
9437,3,344
9437,3,348
9437,3,406
9437,4,492
9437,7,1010
9437,9,1230
9437,9,1233
9437,9,1267
9437,10,1401
9437,11,1617
9436,69,4845
9436,73,5378
9436,74,5512
9436,74,5577
9436,80,6147
9436,81,6336
9436,83,6611
9436,83,6633
9436,85,6895
9436,86,7079
9436,121,11598
9436,123,11857
9436,123,11916
9436,128,12498
9436,131,12934
9436,132,13079
9436,137,13677
9436,138,13836
9436,143,14405
9436,145,14706
9436,145,14708
9436,148,15125
9436,152,15607
9436,153,15795
9436,156,16153
9436,156,16196
9436,156,16199
9436,159,16552
9436,160,16726
9436,161,16831
9436,168,17793
9436,168,17805
9436,175,18844
