run,subrun,event
8675,38,4220
8675,40,4514
8675,54,5807
8675,54,5821
8675,54,5843
8675,54,5844
8675,66,6914
8675,68,7056
8675,68,7061
8675,73,7648
8675,88,9222
8675,95,9879
8675,96,9997
8675,96,10007
8675,104,10917
8675,104,10922
8675,104,10931
8675,116,12089
8675,121,12693
8675,125,13185
8675,125,13211
8675,130,13815
8675,130,13850
8675,140,15020
8675,145,15630
8675,145,15666
8675,146,15757
8675,153,16648
8675,159,17396
8675,159,17433
8675,165,18114
8675,169,18594
8675,169,18627
8675,170,18753
8675,172,18943
8675,172,18978
8675,175,19366
8675,179,19865
8675,181,20118
8675,181,20125
8675,181,20133
8675,181,20135
8675,186,20697
8675,186,20715
8675,198,22250
8675,198,22265
8675,199,22344
8675,202,22676
8675,202,22687
8675,202,22696
8675,202,22732
8675,215,24277
8675,226,25636
8675,232,26400
8675,232,26444
8675,254,29135
8675,254,29171
8675,264,30450
8675,284,31719
8675,289,32063
8675,393,39222
8675,399,39624
8675,399,39629
8675,417,40869
8675,417,40872
8675,421,41153
8675,429,41719
8675,437,42342
8766,19,2373
8766,26,3338
8766,29,3713
8766,39,5009
8766,49,6313
8766,59,7514
8766,59,7519
8766,80,10102
8766,140,17540
8675,113,11807
8675,115,11968
8675,119,12430
8675,141,15115
8675,148,15994
8675,166,18209
8675,177,19622
8675,177,19623
8675,197,22145
8675,200,22474
8675,217,24505
8675,230,26136
8675,230,26189
8675,245,28058
8675,262,30150
8675,282,31588
8675,387,38797
8675,392,39153
8675,392,39154
8675,414,40652
8675,416,40790
8766,22,2802
8766,31,3970
8766,57,7278
8766,65,8295
8766,66,8451
8766,84,10627
8766,86,10865
8766,92,11699
8766,103,12845
8766,109,13625
8675,129,13678
8675,129,13691
8675,129,13699
8675,129,13727
8675,142,15244
8675,142,15246
8675,168,18432
8675,168,18478
8675,182,20251
8675,185,20592
8675,191,21336
8675,191,21361
8675,216,24428
8675,216,24446
8675,224,25442
8675,229,26019
8675,251,28746
8675,255,29311
8675,263,30242
8675,263,30261
8675,263,30271
8675,272,30989
8675,287,31894
8675,287,31895
8675,351,36111
8675,356,36453
8675,427,41551
8675,435,42205
8766,53,6776
8766,68,8665
8766,83,10472
8766,83,10497
8766,83,10506
8766,113,14130
8766,118,14707
8766,138,17275
8766,141,17686
8766,146,18347
8766,151,18952
8766,178,22157
8766,181,22560
8766,184,22876
8766,190,23620
8766,216,26676
8766,232,28550
8766,243,29945
8766,250,30834
8766,250,30836
8766,252,31112
8766,254,31348
8766,279,34517
8766,292,36226
8766,292,36237
8766,293,36373
8766,311,38886
8766,341,42701
8766,344,43144
8675,156,16995
8675,156,17037
8675,214,24143
8675,233,26558
8675,249,28499
8675,250,28606
8675,250,28611
8675,252,28875
8675,252,28877
8675,257,29501
8675,260,29875
8675,260,29877
8675,260,29899
8675,265,30530
8675,265,30586
8675,352,36168
8675,367,37291
8675,367,37303
8675,367,37306
8675,368,37390
8675,397,39505
8766,64,8178
8766,72,9150
8766,112,13980
8766,124,15452
8766,166,20719
8766,177,22031
8766,201,24910
8766,201,24918
8766,201,24924
8766,206,25539
