,run,subrun,event
0,8557,44,2258
1,8557,52,2623
2,8557,71,3486
3,8557,73,3571
4,8557,150,7022
5,8557,242,10983
6,8557,277,12280
7,8557,308,13663
8,8557,323,14282
9,8557,333,14727
10,8557,366,16035
11,8557,379,16591
12,8557,400,17525
13,8557,469,20509
14,8560,90,3777
15,8560,115,4835
16,8560,148,6225
17,8560,173,7326
18,8560,181,7708
19,8560,197,8456
20,8560,198,8497
21,8560,318,13996
22,8560,341,14879
23,8560,377,16138
24,8561,68,2299
25,8561,109,3396
26,8561,187,6021
27,8561,216,7047
28,8562,43,1796
29,8562,255,11814
30,8562,299,13917
31,8563,39,2159
32,8563,51,2744
33,8563,109,5509
34,8563,128,6434
35,8563,218,10742
36,8563,229,11265
37,8563,314,15464
38,8580,12,1410
39,8586,279,24586
40,8590,36,3366
41,8590,81,7539
42,8590,104,9788
43,8590,215,20553
44,8590,303,29492
45,8590,335,32851
46,8590,392,38323
47,8590,408,39986
48,8590,435,42735
49,8590,452,44435
50,8591,92,8854
51,8591,126,12253
52,8591,173,16916
53,8591,180,17599
54,8591,187,18276
55,8591,208,20321
56,8591,244,23814
57,8591,260,25446
58,8591,332,32256
59,8595,132,12138
60,8595,185,16888
61,8596,96,8915
62,8596,235,21825
63,8596,249,23148
64,8596,284,26332
65,8596,385,35545
66,8596,476,43728
67,8597,23,2143
68,8597,43,3996
69,8597,86,7898
70,8597,156,13842
71,8597,263,23565
72,8599,50,4810
73,8599,77,7343
74,8600,4,847
75,8600,120,11723
76,8601,14,1659
77,8601,45,4472
78,8602,16,1910
79,8602,78,7789
80,8602,144,14057
81,8602,268,25555
82,8603,122,8454
83,8603,126,8832
84,8605,48,4506
85,8605,177,16085
86,8605,186,16891
87,8605,213,19316
88,8605,327,29531
89,8605,335,30186
90,8606,16,1657
91,8606,86,8228
92,8606,204,19341
93,8606,343,31887
94,8607,77,6991
95,8607,92,8309
96,8608,106,10107
97,8608,107,10193
98,8608,180,17181
99,8608,340,31482
100,8609,37,3247
101,8611,6,266
102,8611,53,3670
103,8612,20,1522
104,8612,22,1690
105,8614,20,1633
106,8615,20,1296
107,8619,184,11935
108,8619,262,17755
109,8619,316,21770
110,8619,345,23996
111,8625,13,945
112,8629,58,4481
113,8629,71,5469
114,8629,153,11860
115,8629,178,13890
