n_train,latent_dim,seed,vae_best_epoch,vae_best_val_loss,flow_best_epoch,flow_best_val_nll,train_RE_mean,val_RE_mean,kaon_RE_mean,auc,best_thr_nll,purity,precision,kaon_eff,recall,f1,proton_fpr,proton_eff,tn,fp,fn,tp,kaon_eff_at_1pct_fpr,valp_below_n,valp_below_mass_mean,valp_below_mass_std,valp_below_chi2_k_mean,valp_below_chi2_k_std,valp_below_chi2_p_mean,valp_below_chi2_p_std,valp_below_RE_mean,valp_below_RE_std,valp_above_n,valp_above_mass_mean,valp_above_mass_std,valp_above_chi2_k_mean,valp_above_chi2_k_std,valp_above_chi2_p_mean,valp_above_chi2_p_std,valp_above_RE_mean,valp_above_RE_std,kaon_below_n,kaon_below_mass_mean,kaon_below_mass_std,kaon_below_chi2_k_mean,kaon_below_chi2_k_std,kaon_below_chi2_p_mean,kaon_below_chi2_p_std,kaon_below_RE_mean,kaon_below_RE_std,kaon_above_n,kaon_above_mass_mean,kaon_above_mass_std,kaon_above_chi2_k_mean,kaon_above_chi2_k_std,kaon_above_chi2_p_mean,kaon_above_chi2_p_std,kaon_above_RE_mean,kaon_above_RE_std
32,4,74,50,4158.332830255682,41,4.148015975952148,0.3234419822692871,0.3346210718154907,0.5963228940963745,0.719762000536337,6.547473907470703,0.8355387523629489,0.8355387523629489,0.4018181818181818,0.4018181818181818,0.5426642111724984,0.06415929203539823,0.9358407079646017,1269,87,658,442,0.1481818181818182,1269,936.48681640625,63.70824432373047,2.058180093765259,2.1482348442077637,1.7837129831314087,2.6059510707855225,0.3277435004711151,0.09600255638360977,87,904.4114379882812,80.08486938476562,2.295264482498169,3.3309390544891357,1.683017373085022,3.1355950832366943,0.4349392354488373,0.1248559057712555,658,504.7713623046875,68.16336059570312,3.3187055587768555,7.424215316772461,3.5490455627441406,5.273414611816406,0.5616928935050964,0.2612251341342926,442,486.7404479980469,61.55512619018555,3.37748122215271,7.617847919464111,3.5384645462036133,6.027785301208496,0.6478763222694397,0.2533799409866333
32,4,1074,42,4287.25028852983,150,-0.3341113328933716,0.31237709522247314,0.3256978690624237,0.5710763335227966,0.8452966613032985,21.466964721679688,0.7480653482373173,0.7480653482373173,0.7909090909090909,0.7909090909090909,0.7688908528501989,0.21607669616519173,0.7839233038348082,1063,293,230,870,0.11090909090909092,1063,936.4556884765625,64.045654296875,2.0638864040374756,2.281026601791382,1.77032470703125,2.6705124378204346,0.30709952116012573,0.08269524574279785,293,927.075927734375,69.3770751953125,2.107875108718872,2.097252130508423,1.802384853363037,2.539618968963623,0.3931725025177002,0.15703199803829193,230,513.1206665039062,75.86276245117188,2.62532901763916,3.537870168685913,3.0112040042877197,2.745725154876709,0.42548447847366333,0.1639937460422516,870,493.4035339355469,62.74185562133789,3.5318729877471924,8.225128173828125,3.6858577728271484,6.114051342010498,0.6095660924911499,0.23730574548244476
32,4,2074,54,4464.045854048295,38,1.9713490009307861,0.3175872564315796,0.3306373059749603,0.5450204014778137,0.7762148028962188,4.963083744049072,0.821301775147929,0.821301775147929,0.6309090909090909,0.6309090909090909,0.7136246786632391,0.11135693215339233,0.8886430678466076,1205,151,406,694,0.3290909090909091,1205,936.252685546875,62.21291732788086,2.0437090396881104,2.2446064949035645,1.7793264389038086,2.6503751277923584,0.31565892696380615,0.0834232047200203,151,919.87548828125,85.08070373535156,2.3102595806121826,2.21340274810791,1.7606991529464722,2.5817384719848633,0.45016661286354065,0.12039106339216232,406,506.37054443359375,74.5112075805664,2.7058603763580322,3.9379990100860596,3.04536771774292,3.1170878410339355,0.4361278712749481,0.16160450875759125,694,492.35211181640625,60.190181732177734,3.7146623134613037,8.930116653442383,3.836965322494507,6.601223468780518,0.6087241768836975,0.2407691329717636
64,4,106,55,3410.776777787642,42,4.270925045013428,0.23694220185279846,0.2638007700443268,0.5064157843589783,0.8131181281844999,4.93480110168457,0.7650273224043715,0.7650273224043715,0.6363636363636364,0.6363636363636364,0.6947890818858561,0.15855457227138642,0.8414454277286135,1141,215,400,700,0.3690909090909091,1141,934.5863037109375,65.41083526611328,2.0225298404693604,2.278735399246216,1.8072328567504883,2.696087598800659,0.24962958693504333,0.07347765564918518,215,933.59326171875,64.9968032836914,2.3433115482330322,2.018895149230957,1.6181453466415405,2.332557439804077,0.3390069007873535,0.09592728316783905,400,514.1048583984375,74.52275085449219,2.730452299118042,3.6891417503356934,3.0464468002319336,3.087299346923828,0.34839102625846863,0.16264726221561432,700,488.05267333984375,58.849708557128906,3.691962957382202,8.961880683898926,3.8295633792877197,6.587663650512695,0.5967156291007996,0.2613321840763092
64,4,1106,46,4022.6513449928975,39,4.280388355255127,0.282218337059021,0.3180200457572937,0.5834448337554932,0.8323484848484849,6.103523254394531,0.7944621938232161,0.7944621938232161,0.6781818181818182,0.6781818181818182,0.7317312408043158,0.14233038348082597,0.8576696165191741,1163,193,354,746,0.21,1163,936.7738647460938,63.285831451416016,2.0516374111175537,2.2065720558166504,1.7563217878341675,2.541163921356201,0.3040423095226288,0.08584678173065186,193,920.2979125976562,75.10272216796875,2.204479217529297,2.4461607933044434,1.9033769369125366,3.1869900226593018,0.4022485613822937,0.1541065126657486,354,509.1686096191406,76.6927261352539,2.839768886566162,3.9593350887298584,3.2159833908081055,3.1395156383514404,0.44737833738327026,0.17197203636169434,746,492.0014953613281,59.78131866455078,3.5808000564575195,8.680800437927246,3.7008249759674072,6.425416946411133,0.648012638092041,0.2672184109687805
64,4,2106,65,3627.136241566051,65,1.396601915359497,0.22527049481868744,0.25151532888412476,0.5219919085502625,0.7883179136497721,2.9906537532806396,0.7265917602996255,0.7265917602996255,0.7054545454545454,0.7054545454545454,0.7158671586715867,0.2153392330383481,0.7846607669616519,1064,292,324,776,0.1481818181818182,1064,937.2616577148438,61.332305908203125,2.0247116088867188,2.164079427719116,1.7766294479370117,2.6286139488220215,0.2286897450685501,0.06015579402446747,292,924.106689453125,77.4048843383789,2.2507717609405518,2.5011868476867676,1.7795215845108032,2.694284200668335,0.3346880376338959,0.1533716917037964,324,504.9267883300781,71.37617492675781,3.014211654663086,5.8248209953308105,3.367926597595215,4.457061290740967,0.3668630123138428,0.18640807271003723,776,494.43621826171875,63.64019775390625,3.4793179035186768,8.09600830078125,3.618640422821045,5.996016979217529,0.5867622494697571,0.24575603008270264
128,4,170,99,2272.0481289950285,46,6.436676502227783,0.1350799798965454,0.15532007813453674,0.4291810095310211,0.8020675784392599,5.577582836151123,0.7893569844789357,0.7893569844789357,0.6472727272727272,0.6472727272727272,0.7112887112887113,0.140117994100295,0.859882005899705,1166,190,388,712,0.14545454545454545,1166,936.0542602539062,64.29336547851562,1.9905107021331787,2.1003148555755615,1.7319668531417847,2.5538206100463867,0.14283467829227448,0.05041687563061714,190,924.455078125,70.6788558959961,2.5820162296295166,2.922379493713379,2.055161714553833,3.121983766555786,0.2319410890340805,0.12931732833385468,388,508.11041259765625,71.88816833496094,3.0962445735931396,8.556100845336914,3.322115182876587,5.951210021972656,0.272342711687088,0.1806255578994751,712,491.7583923339844,62.10525894165039,3.4764211177825928,6.857876300811768,3.6661410331726074,5.377166271209717,0.5146490335464478,0.2605455219745636
128,4,1170,37,3199.9823663884945,14,12.364067077636719,0.2352181375026703,0.25050124526023865,0.5082104206085205,0.6331218155001341,9.400897026062012,0.8841463414634146,0.8841463414634146,0.39545454545454545,0.39545454545454545,0.5464824120603015,0.0420353982300885,0.9579646017699115,1299,57,665,435,0.13272727272727272,1299,936.1558837890625,63.85708999633789,2.1018755435943604,2.2758066654205322,1.8225178718566895,2.683364152908325,0.24636344611644745,0.08412416279315948,57,895.0713500976562,84.17224884033203,1.4242501258850098,1.057892084121704,0.7456666231155396,0.924288272857666,0.3447992205619812,0.16873620450496674,665,503.3092956542969,69.14251708984375,3.4866294860839844,7.9828972816467285,3.6937756538391113,5.776387691497803,0.4735284447669983,0.24226562678813934,435,488.685302734375,60.31575012207031,3.1217150688171387,6.6955695152282715,3.317040205001831,5.280405044555664,0.5612298846244812,0.25516417622566223
128,4,2170,77,2439.7322998046875,69,2.0280842781066895,0.1728445589542389,0.17763765156269073,0.4501260221004486,0.839331925449182,4.092735767364502,0.8197997775305895,0.8197997775305895,0.67,0.67,0.7373686843421711,0.11946902654867257,0.8805309734513275,1194,162,363,737,0.1690909090909091,1194,936.5994262695312,64.15496826171875,1.980436086654663,2.0799334049224854,1.6982206106185913,2.5068776607513428,0.16495957970619202,0.04788537323474884,162,918.4307250976562,71.56230926513672,2.7585067749023438,3.1158266067504883,2.3597447872161865,3.4331061840057373,0.27107980847358704,0.1266564130783081,363,512.0914916992188,72.37547302246094,2.7257139682769775,5.152214050292969,3.1095590591430664,4.1110310554504395,0.29302889108657837,0.1847945898771286,737,490.3521728515625,61.66102981567383,3.6460251808166504,8.404726028442383,3.7591633796691895,6.175999164581299,0.527502179145813,0.25756093859672546
256,4,298,50,2096.4458840110087,6,12.136486053466797,0.13704322278499603,0.14606933295726776,0.43447014689445496,0.28186712255296326,12.609320640563965,0.6601941747572816,0.6601941747572816,0.06181818181818182,0.06181818181818182,0.11305070656691604,0.025811209439528023,0.974188790560472,1321,35,1032,68,0.03636363636363636,1321,934.7543334960938,64.94641876220703,2.0464134216308594,2.2516047954559326,1.7710380554199219,2.6648619174957275,0.14329521358013153,0.06327664852142334,35,922.1436157226562,78.3253402709961,3.0916075706481934,1.5452486276626587,2.0117874145507812,1.547243356704712,0.25077295303344727,0.10746344178915024,1032,498.884033203125,66.13018798828125,3.333173990249634,7.588488578796387,3.546372652053833,5.670455455780029,0.4286113977432251,0.2692442238330841,68,476.91912841796875,63.47581100463867,3.481173515319824,6.0276994705200195,3.5208306312561035,4.1303019523620605,0.5233855843544006,0.2581867575645447
