run,subrun,event,col_wire,col_time,ind_wire,ind_time
8557,7,596,32,945,15,920
8557,9,700,28,1213,21,1198
8557,10,734,26,1227,23,1200
8557,16,995,32,1261,16,1220
8557,16,1015,37,1527,13,1507
8557,19,1168,33,1323,15,1298
8557,19,1169,34,1185,15,1161
8557,33,1749,33,844,26,874
8557,34,1801,34,1526,17,1498
8557,38,2002,29,1405,28,1404
8557,40,2093,33,1004,16,987
8557,45,2307,31,1172,18,1149
8557,45,2313,20,1229,28,1200
8557,47,2405,138,1133,89,1160
8557,49,2498,35,1608,13,1583
8557,52,2635,30,1223,19,1198
8557,54,2711,27,1448,22,1416
8557,55,2757,23,1006,26,979
8557,59,2986,19,1123,29,1095
8557,60,3003,18,1255,31,1226
8557,62,3109,19,1468,29,1434
8557,69,3342,31,1691,18,1667
8557,70,3387,34,1242,14,1212
8557,81,3899,31,1047,19,1023
8557,81,3914,18,1499,32,1474
8557,82,3959,19,1183,31,1164
8557,88,4238,25,1365,24,1337
8557,95,4549,24,1635,26,1618
8557,95,4571,33,1115,15,1094
8557,106,5048,19,1107,31,1088
8557,109,5156,22,979,26,953
8557,109,5191,26,1083,24,1062
8557,110,5209,38,1336,10,1320
8557,111,5286,30,948,17,917
8557,113,5361,29,1651,20,1627
8557,115,5443,32,1309,17,1283
8557,115,5454,21,872,26,846
8557,116,5476,35,958,28,982
8557,122,5707,19,1466,30,1447
8557,124,5808,26,809,25,800
8557,135,6285,36,1002,13,979
8557,137,6425,28,1219,22,1195
8557,148,6956,27,1452,21,1415
8557,167,7760,27,1048,23,1035
8557,192,8893,32,1316,17,1291
8557,196,9070,26,1169,24,1145
8557,198,9177,33,1539,16,1517
8557,202,9343,28,1046,21,1026
8557,205,9484,33,1338,15,1302
8557,228,10385,21,1184,27,1152
8557,232,10565,31,1143,26,1127
8557,232,10587,32,1312,17,1274
8557,240,10891,33,1246,16,1218
8557,253,11186,19,1219,29,1191
8557,258,11406,32,1364,18,1348
8557,261,11530,24,956,31,952
8557,261,11538,33,1329,15,1290
8557,264,11667,20,1225,29,1200
8557,265,11728,37,1054,15,1044
8557,267,11808,25,1116,24,1086
8557,273,12081,33,1476,16,1439
8557,280,12392,33,1287,14,1255
8557,280,12393,41,915,27,947
8557,280,12420,21,1347,28,1323
8557,282,12531,30,1454,21,1435
8557,285,12665,19,990,31,967
8557,290,12902,16,1057,32,1041
8557,292,12975,24,1156,24,1124
8557,293,13008,28,1137,21,1119
8557,294,13080,28,1108,20,1079
8557,301,13373,34,1183,13,1142
8557,305,13550,19,995,29,969
8557,314,13913,31,1418,17,1371
8557,322,14229,33,1357,15,1338
8557,327,14454,30,1003,18,983
8557,332,14712,31,1173,17,1140
8557,333,14729,28,1281,21,1265
8557,335,14834,29,1135,19,1105
8557,340,15055,17,1312,31,1284
8557,347,15364,31,1743,18,1720
8557,347,15394,34,1332,13,1302
8557,349,15486,30,971,18,954
8557,356,15718,26,1178,24,1154
8557,365,16006,24,1159,25,1146
8557,370,16220,33,1291,19,1284
8557,370,16224,24,1409,25,1400
8557,371,16269,17,1546,32,1509
8557,373,16354,32,1201,18,1182
8557,376,16468,31,870,21,860
8557,382,16746,27,1041,23,1016
8557,385,16869,46,494,90,447
8557,386,16929,19,1208,28,1188
8557,400,17526,20,1214,29,1180
8557,408,17843,18,1420,30,1361
8557,409,17906,34,1188,13,1163
8557,428,18778,32,1471,18,1448
8557,430,18846,31,1029,18,1002
8557,433,18988,33,1193,16,1163
8557,435,19049,23,971,24,938
8557,439,19196,23,972,25,954
8557,442,19325,20,1369,28,1339
8557,446,19496,19,980,30,956
8557,449,19615,36,1206,20,1207
8557,451,19729,51,890,14,970
8557,459,20077,16,1359,32,1336
8557,462,20227,29,1228,19,1189
8557,467,20441,26,1215,24,1189
8557,475,20811,19,1613,29,1580
8558,6,146,20,1350,28,1336
8559,3,70,34,1128,13,1100
8559,3,103,17,1110,32,1081
8559,10,395,26,859,25,854
8559,12,495,22,990,26,957
8559,16,680,27,1191,22,1168
8559,17,698,25,904,24,881
8559,19,797,26,1428,22,1387
8559,21,898,33,1183,14,1148
8559,22,941,24,1328,25,1317
8559,23,985,36,1405,12,1382
8560,8,295,27,1007,23,990
8560,13,500,31,1080,18,1055
8560,18,752,25,1084,24,1058
8560,26,1085,33,1230,15,1196
8560,47,2067,27,1158,23,1139
8560,48,2099,24,886,31,885
8560,58,2477,34,1038,16,1016
8560,61,2601,22,1071,26,1050
8560,63,2664,27,1190,22,1151
8560,64,2713,22,1069,25,1043
8560,74,3103,29,1319,19,1281
8560,74,3113,23,1236,26,1211
8560,78,3237,35,1183,13,1159
8560,86,3589,35,1072,18,1065
8560,92,3854,28,1200,21,1176
8560,92,3861,26,927,22,893
8560,97,4060,19,1334,29,1313
8560,98,4109,31,1223,17,1194
8560,102,4279,21,1305,27,1277
8560,104,4363,24,1410,26,1392
8560,108,4548,24,1085,25,1073
8560,108,4549,19,926,28,897
8560,112,4663,30,912,25,923
8560,113,4732,21,1479,27,1459
8560,114,4750,24,1160,24,1127
8560,117,4899,234,1274,31,1003
8560,121,5050,31,1145,18,1120
8560,122,5121,27,942,32,956
8560,141,5911,35,1498,13,1464
8560,142,5958,24,1611,25,1566
8560,143,6007,29,1104,25,1094
8560,146,6117,21,999,28,978
8560,157,6632,19,1027,30,994
8560,157,6639,23,1179,26,1162
8560,170,7214,29,1249,19,1218
8560,172,7279,31,1493,17,1466
8560,174,7383,31,1124,17,1085
8560,174,7385,23,931,21,966
8560,175,7432,18,1219,30,1167
8560,178,7556,25,1276,24,1241
8560,183,7783,18,1435,30,1400
8560,196,8381,18,978,30,949
8560,196,8390,26,1583,23,1552
8560,219,9391,30,1321,19,1291
8560,221,9496,48,1389,178,579
8560,223,9585,30,1118,18,1100
8560,231,9995,20,1207,29,1181
8560,234,10105,31,1531,18,1494
