run,subrun,event
8675,393,39222
8766,350,44057
8722,38,5302
8630,77,5161
8737,14,1346
8725,39,5170
9488,30,2302
9488,202,16222
9481,137,10088
9481,288,22663
8591,340,32979
8605,331,29853
8605,351,31615
8591,13,1106
8591,249,24312
8605,275,25022
9436,77,5918
9788,8,595
9762,392,35136
9762,390,34946
8682,336,27547
8739,234,22307
8740,70,6894
8743,251,25222
8743,183,18661
8743,215,21687
8679,335,29834
8679,456,44740
8596,158,14651
9480,414,32109
9480,378,28992
9542,61,4200
9509,36,2432
8740,325,32642
9513,141,13966
8740,396,39925
8684,172,18745
9509,313,29871
9564,401,30128
8638,190,19789
8590,288,27990
8590,120,11263
8590,423,41503
8614,9,797
8614,64,4690
8684,451,49342
8685,297,31013
9535,163,11218
8638,292,31234
9512,49,5295
9512,50,5372
8681,275,22703
8681,80,8417
8681,360,29369
8681,398,32535
8600,9,1302
8602,172,16793
9448,180,16306
9448,340,31083
9448,205,18646
9449,75,7271
9447,11,966
9535,430,29974
9550,56,3552
9541,89,6218
9540,66,4219
9540,138,9158
8740,347,34926
8740,67,6577
8638,63,6278
8684,207,22327
8686,441,46311
8658,154,12603
8658,278,21740
8658,381,29334
8689,404,36982
9485,154,11391
9483,34,2229
9554,53,3704
9554,273,18591
9552,63,4648
9555,128,9508
9553,83,5980
9553,142,10184
9559,1,41
9562,131,10168
8595,193,17599
8677,54,3335
8677,171,11318
8613,16,1203
8607,128,11548
8607,28,2561
8638,397,42961
8738,336,33972
9481,233,18022
8686,192,19782
8586,195,16255
8656,188,17529
8686,133,13682
9495,45,3655
9495,326,23426
9498,362,26465
9510,37,2916
8557,47,2405
9474,201,17098
9452,96,9098
9452,220,20375
9473,34,2598
9565,40,3626
9588,73,6842
9566,233,19066
9566,101,9025
9566,165,14098
9517,161,13751
9514,181,13714
9514,223,17520
8758,175,17523
8667,132,9618
8724,85,11764
8724,27,3622
8724,19,2454
8724,30,4124
8632,44,3491
8560,401,16933
8724,17,2198
9496,4,724
9492,93,7185
9493,317,23746
9493,38,3054
9491,227,14913
9491,230,15113
9491,445,30277
8667,275,21666
8723,87,12822
8638,438,47551
8648,265,22103
8563,190,9450
8562,287,13330
8648,42,3528
8650,38,4595
8561,230,7559
8562,220,10180
8562,146,6791
8562,225,10400
8563,316,15577
8563,219,10806
8563,219,10816
9451,127,11402
9453,169,15956
9453,63,5886
9452,183,16981
9452,150,13944
9452,373,34667
9786,8,815
9787,43,4185
9564,222,14665
9781,6,1664
