run,subrun,event
8766,350,44057
8630,77,5161
8737,14,1346
9488,30,2302
9488,202,16222
8605,331,29853
8605,351,31615
8591,249,24312
9762,390,34946
8743,251,25222
8743,183,18661
9480,378,28992
9542,61,4200
9509,36,2432
9513,141,13966
9509,313,29871
9564,401,30128
8638,190,19789
8590,120,11263
8590,423,41503
8614,9,797
8614,64,4690
8684,451,49342
8685,297,31013
8638,292,31234
9512,49,5295
9512,50,5372
8681,80,8417
8681,360,29369
9448,180,16306
9448,340,31083
9448,205,18646
9449,75,7271
9447,11,966
9550,56,3552
9541,89,6218
9540,66,4219
9540,138,9158
8740,67,6577
8684,207,22327
8686,441,46311
8658,278,21740
9485,154,11391
9554,273,18591
9552,63,4648
9555,128,9508
9553,142,10184
9562,131,10168
8595,193,17599
8677,54,3335
8638,397,42961
8586,195,16255
8656,188,17529
8686,133,13682
9495,45,3655
9495,326,23426
9498,362,26465
9510,37,2916
8557,47,2405
9452,96,9098
9452,220,20375
9473,34,2598
9565,40,3626
9588,73,6842
9566,233,19066
9566,101,9025
9566,165,14098
9517,161,13751
8758,175,17523
8724,85,11764
8724,19,2454
8724,30,4124
8632,44,3491
9492,93,7185
9491,227,14913
9491,445,30277
8638,438,47551
8562,287,13330
8648,42,3528
8650,38,4595
8561,230,7559
8562,220,10180
8562,146,6791
8563,316,15577
8563,219,10816
9451,127,11402
9453,63,5886
9452,183,16981
9452,150,13944
9786,8,815
9787,43,4185
9564,222,14665
