,run,subrun,event
0,8675,95,9908
1,8675,110,11595
2,8675,135,14423
3,8675,145,15659
4,8766,89,11279
5,8766,284,35165
6,8726,7,862
7,8722,4,427
8,8733,103,11198
9,8560,160,6768
10,8722,58,8294
11,8737,14,1376
12,8737,125,12846
13,8725,96,12988
14,8599,47,4534
15,8599,58,5569
16,8725,75,9912
17,8725,97,13137
18,8722,69,9999
19,8722,57,8136
20,8722,95,13656
21,9488,102,8234
22,9488,111,8965
23,9488,197,15794
24,9488,279,22072
25,9486,87,6924
26,9489,88,5844
27,9489,217,14427
28,9489,79,5184
29,9489,143,9606
30,9490,5,278
31,9481,15,1111
32,9481,178,13473
33,9481,403,32623
34,9488,27,2036
35,9488,170,13749
36,9486,181,13801
37,9486,207,15887
38,9486,210,16115
39,9486,2,264
40,9486,64,5198
41,9486,169,12868
42,9486,230,17789
43,9486,98,7788
44,9486,147,11216
45,9489,28,2026
46,8605,388,34807
47,8605,411,36846
48,8605,462,41557
49,8606,251,23515
50,8606,337,31286
51,8591,61,5814
52,8605,196,17798
53,9436,67,4682
54,9436,141,14158
55,9437,2,247
56,9437,10,1401
57,9436,81,6336
58,9533,29,2051
59,9533,58,4140
60,9533,113,8094
61,9783,6,838
62,9788,61,4229
63,9788,276,24257
64,9788,282,24722
65,9762,55,6360
66,9762,150,14470
67,9788,25,2107
68,9788,88,6615
69,9788,161,13635
70,9788,80,5883
71,9788,173,14886
72,9788,175,15117
73,9788,215,19082
74,9788,224,19935
75,9788,254,22342
76,9762,92,9982
77,9762,289,26618
78,9762,359,32286
79,9762,381,34235
80,9762,381,34251
81,9762,457,40332
82,9533,14,1019
83,9762,440,38864
84,9762,452,39931
85,9762,158,15186
86,9762,203,19216
87,9762,453,39993
88,8682,293,23754
89,8682,363,30161
90,8739,150,14316
91,8682,15,1223
92,8682,19,1554
93,8682,162,12787
94,8682,25,2047
95,8739,107,10275
96,8739,145,13857
97,8739,180,17204
98,8685,154,16123
99,8559,19,796
100,8680,21,2645
101,8559,20,853
102,8743,242,24405
103,8743,393,39226
104,8652,423,33460
